atc5,minsan,days
A02BC05,048305041,18.66
A02BC05,048305039,10
A02BC05,048305027,9.33
A02BC05,048305015,4.66
S01EA05,048304075,120
S01EA05,048304063,100
S01EA05,048304051,60
S01EA05,048304048,50
S01EA05,048304036,30
S01EA05,048304024,20
S01EA05,048304012,10
G03AA16,048303010,28
S01BC03,048302018,33.33
N02AJ06,048301016,5.33
D10AD01,048300014,10
M01AE17,048299010,6.66
N06BX03,048298020,20
N06BX03,048298018,15
A10BH01,048293068,98
A10BH01,048293056,28
A10BH01,048293043,45
A10BH01,048293031,14
A10BH01,048293029,22.5
A10BH01,048293017,7
J07CA02,048290100,20
J07CA02,048290098,10
J07CA02,048290086,1
J07CA02,048290074,10
J07CA02,048290062,10
J07CA02,048290050,1
J07CA02,048290047,1
J07CA02,048290035,20
J07CA02,048290023,1
J07CA02,048290011,1
J01DH02,048286025,3.33
J01DH02,048286013,0.16
N02BE51,048285023,0
N02BE51,048285011,0
N02BA51,048277026,5.33
N02BA51,048277014,2.66
L01XX35,048275061,44.44
L01XX35,048275059,44.44
L01XX35,048275046,33.33
L01XX35,048275034,33.33
L01XX35,048275022,22.22
L01XX35,048275010,22.22
N02AB03,048270108,40
N02AB03,048270096,30
N02AB03,048270084,20
N02AB03,048270072,6.66
N02AB03,048270060,15
N02AB03,048270058,5
N02AB03,048270045,10
N02AB03,048270033,3.33
N02AB03,048270021,5
N02AB03,048270019,1.66
N06AX12,048268015,15
J05AX23,048255018,0
M03AX01,048254015,1
N04BA01,048253025,0
N04BA01,048253013,0
V03AC03,048252163,61.71
V03AC03,048252151,18.51
V03AC03,048252148,61.71
V03AC03,048252136,18.51
V03AC03,048252124,6.17
V03AC03,048252112,0
V03AC03,048252100,30.86
V03AC03,048252098,9.25
V03AC03,048252086,9.25
V03AC03,048252074,3.08
V03AC03,048252062,3.08
V03AC03,048252050,15.42
V03AC03,048252047,4.62
V03AC03,048252035,4.62
V03AC03,048252023,1.54
V03AC03,048252011,1.54
N05CM18,048250043,1.6
N05CM18,048250031,0.4
N05CM18,048250029,1.6
N05CM18,048250017,0.4
L04AX02,048246021,14
L04AX02,048246019,14
D06AX01,048244014,15
M02AA15,048243012,8.57
R01AD01,048242010,50
S01AE01,048241018,25
G03AA10,048240016,28
S01AA23,048239014,25
R01AD,048238012,5
G01AA51,048237010,12
G03AA13,048236018,28.03
N01BB20,048235016,2
N06AX12,048234025,45
N06AX12,048234013,15
R02AX01,048231017,0
G04CA52,048229037,90
G04CA52,048229025,30
G04CA52,048229013,7
G04CA52,048228035,90
