atc5,minsan,days
C10AA07,043418122,50
C10AA07,043418110,49
C10AA07,043418108,45
C10AA07,043418096,30
C10AA07,043418084,25
C10AA07,043418072,25
C10AA07,043418060,15
C10AA07,043418058,14
C10AA07,043418045,10
C10AA07,043418033,7.5
C10AA07,043418021,7
C10AA07,043418019,3.5
L04AX03,043416229,48
L04AX03,043416217,12
L04AX03,043416205,44
L04AX03,043416193,11
L04AX03,043416181,40
L04AX03,043416179,10
L04AX03,043416167,36
L04AX03,043416155,9
L04AX03,043416142,32
L04AX03,043416130,8
L04AX03,043416128,28
L04AX03,043416116,7
L04AX03,043416104,24
L04AX03,043416092,6
L04AX03,043416080,20
L04AX03,043416078,5
L04AX03,043416066,16
L04AX03,043416054,4
L04AX03,043416041,12
L04AX03,043416039,3
L04AX03,043416027,4
L04AX03,043416015,1
R05CA,043414010,0
C10BA02,043413362,28
C10BA02,043413350,28
C10BA02,043413347,500
C10BA02,043413335,250
C10BA02,043413323,100
C10BA02,043413311,30
C10BA02,043413309,90
C10BA02,043413297,30
C10BA02,043413285,28
C10BA02,043413273,14
C10BA02,043413261,100
C10BA02,043413259,98
C10BA02,043413246,30
C10BA02,043413234,28
C10BA02,043413222,14
C10BA02,043413210,500
C10BA02,043413208,250
C10BA02,043413196,100
C10BA02,043413184,30
C10BA02,043413172,90
C10BA02,043413160,30
C10BA02,043413158,28
C10BA02,043413145,14
C10BA02,043413133,100
C10BA02,043413121,98
C10BA02,043413119,30
C10BA02,043413107,28
C10BA02,043413095,14
C10BA02,043413083,100
C10BA02,043413071,30
C10BA02,043413069,28
C10BA02,043413057,14
C10BA02,043413044,100
C10BA02,043413032,30
C10BA02,043413020,28
C10BA02,043413018,14
H02AB07,043412042,25
H02AB07,043412030,15
H02AB07,043412028,10
H02AB07,043412016,5
H02AB07,043411040,25
H02AB07,043411038,15
H02AB07,043411026,10
H02AB07,043411014,5
H02AB07,043410048,25
H02AB07,043410036,15
H02AB07,043410024,10
H02AB07,043410012,5
J01XX08,043409034,15
J01XX08,043409022,10
J01XX08,043409010,5
L01XE01,043408071,72
L01XE01,043408069,24
L01XE01,043408057,8
L01XE01,043408044,36
L01XE01,043408032,24
L01XE01,043408020,12
L01XE01,043408018,4
N07BA01,043407105,26.66
N07BA01,043407093,13.33
N07BA01,043407081,4
N07BA01,043407079,1.33
N07BA01,043407067,0.53
N07BA01,043407055,13.33
N07BA01,043407042,6.66
N07BA01,043407030,2
N07BA01,043407028,0.66
N07BA01,043407016,0.26
N07BA01,043406103,26.66
N07BA01,043406091,13.33
N07BA01,043406089,4
N07BA01,043406077,1.33
N07BA01,043406065,0.53
N07BA01,043406053,13.33
N07BA01,043406040,6.66
N07BA01,043406038,2
N07BA01,043406026,0.66
N07BA01,043406014,0.26
C09BB07,043405505,100
C09BB07,043405493,98
C09BB07,043405481,96
C09BB07,043405479,91
C09BB07,043405467,90
C09BB07,043405455,60
C09BB07,043405442,56
C09BB07,043405430,32
C09BB07,043405428,30
C09BB07,043405416,28
C09BB07,043405404,100
C09BB07,043405392,98
C09BB07,043405380,96
C09BB07,043405378,91
C09BB07,043405366,90
C09BB07,043405354,60
C09BB07,043405341,56
C09BB07,043405339,32
C09BB07,043405327,30
C09BB07,043405315,28
C09BB07,043405303,100
C09BB07,043405291,98
C09BB07,043405289,96
C09BB07,043405277,91
C09BB07,043405265,90
C09BB07,043405253,60
C09BB07,043405240,56
C09BB07,043405238,32
C09BB07,043405226,28
C09BB07,043405214,28
C09BB07,043405202,100
C09BB07,043405190,98
C09BB07,043405188,96
C09BB07,043405176,91
C09BB07,043405164,90
C09BB07,043405152,60
C09BB07,043405149,56
C09BB07,043405137,32
C09BB07,043405125,30
C09BB07,043405113,28
C09BB07,043405101,100
C09BB07,043405099,98
C09BB07,043405087,96
C09BB07,043405075,91
C09BB07,043405063,90
C09BB07,043405051,60
C09BB07,043405048,56
C09BB07,043405036,32
C09BB07,043405024,30
C09BB07,043405012,28
G03AC09,043404033,168
G03AC09,043404021,84
G03AC09,043404019,28
R03AK07,043403106,0
R03AK07,043403094,0
R03AK07,043403082,0
R03AK07,043403070,0
R03AK07,043403068,0
R03AK07,043403056,0
R03AK07,043403043,0
R03AK07,043403031,0
R03AK07,043403029,0
R03AK07,043403017,0
R06AE07,043402015,20
H02AB07,043401052,50
H02AB07,043401049,25
H02AB07,043401037,15
H02AB07,043401025,10
H02AB07,043401013,5
M05BA08,043400011,5
J06BA01,043398027,16
J06BA01,043398015,6.4
C10BX06,043397367,0
C10BX06,043397355,0
C10BX06,043397342,0
C10BX06,043397330,0
C10BX06,043397328,0
C10BX06,043397316,0
C10BX06,043397304,0
C10BX06,043397292,0
C10BX06,043397280,0
C10BX06,043397278,0
C10BX06,043397266,0
C10BX06,043397254,0
C10BX06,043397241,0
C10BX06,043397239,0
C10BX06,043397227,0
C10BX06,043397215,0
C10BX06,043397203,0
C10BX06,043397191,0
C10BX06,043397189,0
C10BX06,043397177,0
C10BX06,043397165,0
C10BX06,043397153,0
C10BX06,043397140,0
C10BX06,043397138,28
C10BX06,043397126,0
C10BX06,043397114,0
C10BX06,043397102,0
C10BX06,043397090,0
C10BX06,043397088,28
C10BX06,043397076,0
C10BX06,043397064,0
C10BX06,043397052,0
C10BX06,043397049,0
C10BX06,043397037,28
C10BX06,043397025,0
C10BX06,043397013,0
J06BA01,043396023,16
J06BA01,043396011,6.4
J01CR02,043394016,10.5
D07CC01,043393014,15
R01AD09,043392012,0.35
D07CC01,043391010,15
D07CC01,043390018,15
N02BE01,043389028,2.667
N02BE01,043389016,5.333
J01CR02,043388040,7.46
J01CR02,043388038,11.2
J01CR02,043388026,10.5
J01CR02,043388014,7
J01CR02,043387048,7
J01CR02,043387036,7
J01CR02,043387024,7
J01CR02,043387012,7
M01AX05,043386010,20
C09BA02,043385018,14
M01AE01,043384027,2.5
M01AE01,043384015,2.5
A07BC05,043383025,10
A07BC05,043383013,10
A06AD65,043382023,10
A06AD65,043382011,10
M03BX05,043381021,3
M03BX05,043381019,3
N06AX11,043380219,500
N06AX11,043380207,250
N06AX11,043380195,100
N06AX11,043380183,500
N06AX11,043380171,300
N06AX11,043380169,250
N06AX11,043380157,200
N06AX11,043380144,100
N06AX11,043380132,96
N06AX11,043380120,90
N06AX11,043380118,70
N06AX11,043380106,60
N06AX11,043380094,56
N06AX11,043380082,50
N06AX11,043380070,48
N06AX11,043380068,30
N06AX11,043380056,28
N06AX11,043380043,20
N06AX11,043380031,18
N06AX11,043380029,14
N06AX11,043380017,10
J05AG03,043379054,500
J05AG03,043379041,90
J05AG03,043379039,30
J05AG03,043379027,90
J05AG03,043379015,30
B05BA10,043378052,4
B05BA10,043378049,4
B05BA10,043378037,4
B05BA10,043378025,10
B05BA10,043378013,10
A16AB12,043377011,0.25
J04AA01,043376019,10
A10BD16,043375120,90
A10BD16,043375118,30
A10BD16,043375106,10
A10BD16,043375094,90
A10BD16,043375082,30
A10BD16,043375070,10
A10BD16,043375068,90
A10BD16,043375056,30
A10BD16,043375043,10
A10BD16,043375031,90
A10BD16,043375029,30
A10BD16,043375017,10
R03BB07,043374038,90
R03BB07,043374026,30
R03BB07,043374014,7
S01EE04,043373036,150
S01EE04,043373024,75
S01EE04,043373012,25
R03AL04,043372085,150
R03AL04,043372073,10
R03AL04,043372061,150
R03AL04,043372059,96
R03AL04,043372046,90
R03AL04,043372034,30
R03AL04,043372022,12
R03AL04,043372010,6
N03AX16,043370446,16.66
N03AX16,043370434,100
N03AX16,043370422,200
N03AX16,043370410,112
N03AX16,043370408,100
N03AX16,043370396,56
N03AX16,043370384,14
N03AX16,043370372,75
N03AX16,043370360,75
N03AX16,043370358,42
N03AX16,043370345,10.5
N03AX16,043370333,66.66
N03AX16,043370321,66.66
N03AX16,043370319,56
N03AX16,043370307,14
N03AX16,043370295,50
N03AX16,043370283,100
N03AX16,043370271,56
N03AX16,043370269,50
N03AX16,043370257,28
N03AX16,043370244,7
N03AX16,043370232,33.33
N03AX16,043370220,33.33
N03AX16,043370218,28
N03AX16,043370206,7
N03AX16,043370194,25
N03AX16,043370182,50
N03AX16,043370170,28
N03AX16,043370168,25
N03AX16,043370156,14
N03AX16,043370143,3.5
N03AX16,043370131,16.66
N03AX16,043370129,16.66
N03AX16,043370117,14
N03AX16,043370105,9.33
N03AX16,043370093,3.5
N03AX16,043370081,2.33
N03AX16,043370079,8.33
N03AX16,043370067,9.33
N03AX16,043370055,8.33
N03AX16,043370042,7
N03AX16,043370030,4.66
N03AX16,043370028,1.75
N03AX16,043370016,1.16
R03AK07,043369178,60
R03AK07,043369166,60
R03AK07,043369154,90
R03AK07,043369141,45
R03AK07,043369139,30
R03AK07,043369127,30
R03AK07,043369115,15
R03AK07,043369103,15
R03AK07,043369091,90
R03AK07,043369089,30
R03AK07,043369077,30
R03AK07,043369065,90
R03AK07,043369053,45
R03AK07,043369040,30
R03AK07,043369038,30
R03AK07,043369026,15
R03AK07,043369014,15
C07AA05,043368012,2.81
J04AK06,043367046,12
J04AK06,043367034,75
J04AK06,043367022,12.5
J04AK06,043367010,10
R03AK07,043366069,90
R03AK07,043366057,60
R03AK07,043366044,30
R03AK07,043366032,90
R03AK07,043366020,60
R03AK07,043366018,30
R03AK07,043365067,90
R03AK07,043365055,60
R03AK07,043365042,30
R03AK07,043365030,90
R03AK07,043365028,60
R03AK07,043365016,30
G03GA05,043364153,60
G03GA05,043364140,30
G03GA05,043364138,40
G03GA05,043364126,20
G03GA05,043364114,30
G03GA05,043364102,15
G03GA05,043364090,20
G03GA05,043364088,10
G03GA05,043364076,10
G03GA05,043364064,5
G03GA05,043364052,6
G03GA05,043364049,4
G03GA05,043364037,3
G03GA05,043364025,2
G03GA05,043364013,1
N01BB10,043362211,20
N01BB10,043362209,10
N01BB10,043362197,5
N01BB10,043362185,20
N01BB10,043362173,10
N01BB10,043362161,5
N01BB10,043362159,20
N01BB10,043362146,10
N01BB10,043362134,5
N01BB10,043362122,32
N01BB10,043362110,12
N01BB10,043362108,5
N01BB10,043362096,60
N01BB10,043362084,24
N01BB10,043362072,5
N01BB10,043362060,32
N01BB10,043362058,12
N01BB10,043362045,5
N01BB10,043362033,60
N01BB10,043362021,24
N01BB10,043362019,5
V03AC01,043361056,44.44
V03AC01,043361043,8.88
V03AC01,043361031,4.44
V03AC01,043361029,0.88
V03AC01,043361017,2.222
J05AR10,043360080,30
J05AR10,043360078,90
J05AR10,043360066,30
J05AR10,043360054,90
J05AR10,043360041,30
J05AR10,043360039,15
J05AR10,043360027,16
J05AR10,043360015,7.5
J05AE03,043359052,15
J05AE03,043359049,10
J05AE03,043359037,7.5
J05AE03,043359025,5
J05AE03,043359013,2.5
B05AA01,043358023,1
B05AA01,043358011,0.5
J02AC03,043357019,0.5
C10AA07,043356157,60
C10AA07,043356144,56
C10AA07,043356132,30
C10AA07,043356120,28
C10AA07,043356118,14
C10AA07,043356106,30
C10AA07,043356094,28
C10AA07,043356082,15
C10AA07,043356070,14
C10AA07,043356068,7
C10AA07,043356056,15
C10AA07,043356043,14
C10AA07,043356031,7.5
C10AA07,043356029,7
C10AA07,043356017,3.5
N07CA01,043355270,90
N07CA01,043355268,60
N07CA01,043355256,30
N07CA01,043355243,30
N07CA01,043355231,10
N07CA01,043355229,50
N07CA01,043355217,1000
N07CA01,043355205,30
N07CA01,043355193,666.66
N07CA01,043355181,20
N07CA01,043355179,333.33
N07CA01,043355167,10
N07CA01,043355155,60
N07CA01,043355142,20
N07CA01,043355130,10
N07CA01,043355128,56
N07CA01,043355116,40
N07CA01,043355104,20
N07CA01,043355092,13.33
N07CA01,043355080,5
N07CA01,043355078,40
N07CA01,043355066,33.33
N07CA01,043355054,28
N07CA01,043355041,20
N07CA01,043355039,16.66
N07CA01,043355027,6.66
N07CA01,043355015,3.33
S01CA01,043354012,16.667
S01EE04,043353022,75
S01EE04,043353010,25
G03AA07,043352044,364
G03AA07,043352032,168
G03AA07,043352020,84
G03AA07,043352018,28
R05CB01,043351206,72
R05CB01,043351194,60
R05CB01,043351182,36
R05CB01,043351170,24
R05CB01,043351168,12
R05CB01,043351156,72
R05CB01,043351143,36
R05CB01,043351131,24
R05CB01,043351129,40
R05CB01,043351117,32
R05CB01,043351105,20
R05CB01,043351093,16
R05CB01,043351081,8
R05CB01,043351079,8
R05CB01,043351067,20
R05CB01,043351055,16
R05CB01,043351042,10
R05CB01,043351030,8
R05CB01,043351028,4
R05CB01,043351016,4
M01AE01,043350026,4
M01AE01,043350014,2
N01AX10,043349099,10
N01AX10,043349087,1
N01AX10,043349075,10
N01AX10,043349063,1
N01AX10,043349051,10
N01AX10,043349048,1
N01AX10,043349036,10
N01AX10,043349024,5
N01AX10,043349012,1
C08CA01,043348046,28
C08CA01,043348034,28
C08CA01,043348022,28
C08CA01,043348010,28
C09BA02,043347020,14
C09BA02,043347018,14
N05CD06,043346016,50
N05CD06,043345014,50
M01AE01,043344035,3.33
M01AE01,043344023,2.5
M01AE01,043344011,2.5
N05CF02,043343021,30
N05CF02,043343019,30
C10AA07,043342017,28
N05BA06,043341039,8
N05BA06,043341027,20
N05BA06,043341015,8
N02CC05,043340102,9
N02CC05,043340090,9
N02CC05,043340088,12
N02CC05,043340076,6
N02CC05,043340064,4
N02CC05,043340052,3
N02CC05,043340049,12
N02CC05,043340037,6
N02CC05,043340025,4
N02CC05,043340013,3
L01XE26,043339062,28
L01XE26,043339050,20
L01XE26,043339047,12
L01XE26,043339035,0
L01XE26,043339023,0
L01XE26,043339011,0
M04AA01,043337029,22.5
M04AA01,043337017,12.5
C09CA03,043336243,1120
C09CA03,043336231,392
C09CA03,043336229,224
C09CA03,043336217,112
C09CA03,043336205,56
C09CA03,043336193,28
C09CA03,043336181,560
C09CA03,043336179,196
C09CA03,043336167,112
C09CA03,043336155,56
C09CA03,043336142,28
C09CA03,043336130,14
C09CA03,043336128,280
C09CA03,043336116,98
C09CA03,043336104,56
C09CA03,043336092,28
C09CA03,043336080,14
C09CA03,043336078,7
C09CA03,043336066,140
C09CA03,043336054,49
C09CA03,043336041,28
C09CA03,043336039,14
C09CA03,043336027,7
C09CA03,043336015,3.5
N05AE05,043335215,60.43
N05AE05,043335203,120.86
N05AE05,043335191,111
N05AE05,043335189,74
N05AE05,043335177,69.06
N05AE05,043335165,37
N05AE05,043335153,34.533
N05AE05,043335140,17.26
N05AE05,043335138,55.5
N05AE05,043335126,37
N05AE05,043335114,34.53
N05AE05,043335102,18.5
N05AE05,043335090,17.267
N05AE05,043335088,8.63
N05AE05,043335076,30.21
N05AE05,043335064,27.75
N05AE05,043335052,18.5
N05AE05,043335049,17.26
N05AE05,043335037,9.25
N05AE05,043335025,8.633
N05AE05,043335013,4.31
A10BJ04,043334046,105.263
A10BJ04,043334034,63.158
A10BJ04,043334022,35.088
A10BJ04,043334010,21.053
C02KX05,043333208,163.33
C02KX05,043333196,130.66
C02KX05,043333184,98
C02KX05,043333172,65.33
C02KX05,043333160,32.66
C02KX05,043333158,50
C02KX05,043333145,46.667
C02KX05,043333133,23.333
C02KX05,043333121,40
C02KX05,043333119,37.333
C02KX05,043333107,18.667
C02KX05,043333095,30
C02KX05,043333083,28
C02KX05,043333071,14
C02KX05,043333069,20
C02KX05,043333057,18.667
C02KX05,043333044,9.333
C02KX05,043333032,10
C02KX05,043333020,9.33
C02KX05,043333018,4.667
J04AK05,043332028,27.9
J04AK05,043332016,218.604
J01XX08,043331038,12.5
J01XX08,043331026,5
J01XX08,043331014,0.5
M03BX01,043328083,72.7
M03BX01,043328071,36.4
M03BX01,043328069,18.2
M03BX01,043328044,72.7
M03BX01,043328032,36.4
M03BX01,043328020,18.2
M03BX01,043328018,0.1
G04BD08,043327067,200
G04BD08,043327055,180
G04BD08,043327042,60
G04BD08,043327030,100
G04BD08,043327028,90
G04BD08,043327016,30
S01AA12,043324019,16.667
S01GA02,043323029,25
S01GA02,043323017,50
C09BB07,043322054,28
C09BB07,043322041,28
C09BB07,043322039,28
C09BB07,043322027,28
C09BB07,043322015,28
L01XA03,043321037,18.35
L01XA03,043321025,9.17
L01XA03,043321013,4.59
A02BC02,043320050,7
A02BC02,043320047,14
A02BC02,043320035,7
A02BC02,043320023,14
A02BC02,043320021,14
A02BC02,043320011,7
S01CA01,043319033,12.5
S01CA01,043319021,12.5
S01CA01,043319019,12.5
S01CA01,043318070,12.5
S01CA01,043318068,11.67
S01CA01,043318056,11.66
S01CA01,043318043,11.667
S01CA01,043318031,12.5
S01CA01,043318029,12.5
S01CA01,043318017,12.5
S01AA12,043317041,16.66
S01AA12,043317039,16.66
S01AA12,043317027,16.66
S01AA12,043317015,16.667
S01AA12,043316088,11.66
S01AA12,043316076,0
S01AA12,043316064,11.66
S01AA12,043316052,0
S01AA12,043316049,16.667
S01AA12,043316037,16.667
S01AA12,043316025,11.667
S01AA12,043316013,16.667
C09AA05,043315047,112
C09AA05,043315035,28
C09AA05,043315023,28
C09AA05,043315011,28
A02BC03,043314044,14
A02BC03,043314032,28
A02BC03,043314020,7
A02BC03,043314018,14
C09BB07,043313055,28
C09BB07,043313042,28
C09BB07,043313030,28
C09BB07,043313028,28
C09BB07,043313016,28
L01BC06,043312040,13.33
L01BC06,043312038,2
L01BC06,043312026,0.44
L01BC06,043312014,0.33
L02BG04,043311012,30
S01EE04,043310022,75
S01EE04,043310010,25
L01CB01,043309044,27.77
L01CB01,043309032,13.88
L01CB01,043309020,5.55
L01CB01,043309018,2.77
S01EE03,043307026,90
S01EE03,043307014,30
N03AX14,043306240,133.33
N03AX14,043306238,66.66
N03AX14,043306226,40
N03AX14,043306214,33.33
N03AX14,043306202,20
N03AX14,043306190,6.66
N03AX14,043306188,100
N03AX14,043306176,50
N03AX14,043306164,30
N03AX14,043306152,25
N03AX14,043306149,15
N03AX14,043306137,5
N03AX14,043306125,66.66
N03AX14,043306113,33.33
N03AX14,043306101,20
N03AX14,043306099,16.66
N03AX14,043306087,10
N03AX14,043306075,3.33
N03AX14,043306063,33.33
N03AX14,043306051,16.66
N03AX14,043306048,10
N03AX14,043306036,8.33
N03AX14,043306024,5
N03AX14,043306012,1.66
L04AA06,043305097,45
L04AA06,043305085,21.6
L04AA06,043305073,18
L04AA06,043305061,9
L04AA06,043305059,22.5
L04AA06,043305046,10.8
L04AA06,043305034,9
L04AA06,043305022,4.5
L04AA06,043305010,1.8
B02BD01,043304017,1
G03AA07,043303039,168
G03AA07,043303027,84
G03AA07,043303015,28
D11AX21,043302076,0
D11AX21,043302064,0
D11AX21,043302052,0
D11AX21,043302049,0
D11AX21,043302037,30
D11AX21,043302025,0
D11AX21,043302013,0
V09AX06,043301011,1
N01BB20,043299041,12
N01BB20,043299039,2
N01BB20,043299027,2
N01BB20,043299015,10
M05BA08,043298037,5
M05BA08,043298025,4
M05BA08,043298013,1
N03AX14,043297326,133.33
N03AX14,043297314,80
N03AX14,043297302,66.66
N03AX14,043297290,40
N03AX14,043297288,33.33
N03AX14,043297276,20
N03AX14,043297264,13.33
N03AX14,043297252,6.66
N03AX14,043297249,100
N03AX14,043297237,60
N03AX14,043297225,50
N03AX14,043297213,30
N03AX14,043297201,25
N03AX14,043297199,15
N03AX14,043297187,10
N03AX14,043297175,5
N03AX14,043297163,66.66
N03AX14,043297151,40
N03AX14,043297148,33.33
N03AX14,043297136,20
N03AX14,043297124,16.66
N03AX14,043297112,10
N03AX14,043297100,6.66
N03AX14,043297098,3.33
N03AX14,043297086,33.33
N03AX14,043297074,20
N03AX14,043297062,16.66
N03AX14,043297050,10
N03AX14,043297047,8.33
N03AX14,043297035,5
N03AX14,043297023,3.33
N03AX14,043297011,1.66
N02BE01,043296209,33.33
N02BE01,043296197,20
N02BE01,043296185,18.66
N02BE01,043296173,10.66
N02BE01,043296161,8
N02BE01,043296159,6.66
N02BE01,043296146,5.33
N02BE01,043296134,4
N02BE01,043296122,3.33
N02BE01,043296110,2.66
N02BE01,043296108,16.66
N02BE01,043296096,10
N02BE01,043296084,9.33
N02BE01,043296072,5.33
N02BE01,043296060,4
N02BE01,043296058,3.33
N02BE01,043296045,2.66
N02BE01,043296033,2
N02BE01,043296021,1.66
N02BE01,043296019,1.33
D07CC01,043295043,24
D07CC01,043295031,12
D07CC01,043295029,6
D07CC01,043295017,2
A01AB03,043293051,200
A01AB03,043293048,20
A01AB03,043293036,10
A01AB03,043293024,4
A01AB03,043293012,2
L01DC03,043292061,33.33
L01DC03,043292059,6.66
L01DC03,043292022,16.66
L01DC03,043292010,3.33
L01CD02,043291044,18.6
L01CD02,043291032,16.27
L01CD02,043291020,9.3
L01CD02,043291018,1.32
L01CD02,043290042,18.6
L01CD02,043290030,16.27
L01CD02,043290028,9.3
L01CD02,043290016,2.32
M05BA07,043288063,360
M05BA07,043288051,270
M05BA07,043288048,180
M05BA07,043288036,90
M05BA07,043288024,60
M05BA07,043288012,30
L04AA06,043286083,45
L04AA06,043286071,21.6
L04AA06,043286069,18
L04AA06,043286057,9
L04AA06,043286044,22.5
L04AA06,043286032,10.8
L04AA06,043286020,9
L04AA06,043286018,4.5
J01CR01,043285028,0.33
J01CR01,043285016,0.16
N04BA03,043284076,38.88
N04BA03,043284064,27.77
N04BA03,043284052,16.66
N04BA03,043284049,44.444
N04BA03,043284037,33.333
N04BA03,043284025,22.222
N04BA03,043284013,11.111
N05CD09,043283062,300
N05CD09,043283050,100
N05CD09,043283047,30
N05CD09,043283035,20
N05CD09,043283023,14
N05CD09,043283011,10
J05AE01,043282045,33.33
J05AE01,043282033,25
J05AE01,043282021,16.66
J05AE01,043282019,8.33
G04BE03,043281106,24
G04BE03,043281094,16
G04BE03,043281082,8
G04BE03,043281070,12
G04BE03,043281068,8
G04BE03,043281056,4
G04BE03,043281043,2
G04BE03,043281031,6
G04BE03,043281029,4
G04BE03,043281017,2
C10AA01,043280054,37.333
C10AA01,043280041,13.333
C10AA01,043280039,18.667
C10AA01,043280027,6.667
C10AA01,043280015,6.667
C09AA04,043279013,37.5
R01AD08,043278011,30
C10AA07,043277274,15
C10AA07,043277262,30
C10AA07,043277250,360
C10AA07,043277247,336
C10AA07,043277235,120
C10AA07,043277223,112
C10AA07,043277211,56
C10AA07,043277209,180
C10AA07,043277197,168
C10AA07,043277185,60
C10AA07,043277173,56
C10AA07,043277161,28
C10AA07,043277159,90
C10AA07,043277146,84
C10AA07,043277134,60
C10AA07,043277122,30
C10AA07,043277110,28
C10AA07,043277108,20
C10AA07,043277096,14
C10AA07,043277084,45
C10AA07,043277072,42
C10AA07,043277060,30
C10AA07,043277058,28
C10AA07,043277045,15
C10AA07,043277033,14
C10AA07,043277021,10
C10AA07,043277019,7
R03BA01,043276207,21.33
R03BA01,043276195,10.66
R03BA01,043276183,32
R03BA01,043276171,26.66
R03BA01,043276169,21.33
R03BA01,043276157,16
R03BA01,043276144,13.33
R03BA01,043276132,20
R03BA01,043276120,8
R03BA01,043276118,5.33
R03BA01,043276106,2.66
R03BA01,043276094,16
R03BA01,043276082,13.33
R03BA01,043276070,10.66
R03BA01,043276068,8
R03BA01,043276056,6.66
R03BA01,043276043,5.33
R03BA01,043276031,4
R03BA01,043276029,2.66
R03BA01,043276017,1.33
G03GA02,043275066,20
G03GA02,043275054,10
G03GA02,043275041,2
G03GA02,043275039,10
G03GA02,043275027,5
G03GA02,043275015,1
G04BE08,043274998,18
G04BE08,043274986,18
G04BE08,043274974,12
G04BE08,043274962,12
G04BE08,043274950,12
G04BE08,043274947,56
G04BE08,043274935,56
G04BE08,043274923,56
G04BE08,043274911,42
G04BE08,043274909,42
G04BE08,043274897,42
G04BE08,043274885,7
G04BE08,043274873,7
G04BE08,043274861,7
G04BE08,043274859,9
G04BE08,043274846,9
G04BE08,043274834,9
G04BE08,043274669,48
G04BE08,043274657,24
G04BE08,043274644,8
G04BE08,043274632,112
G04BE08,043274620,56
G04BE08,043274618,30
G04BE08,043274606,24
G04BE08,043274594,20
G04BE08,043274582,16
G04BE08,043274570,10
G04BE08,043274568,8
G04BE08,043274556,4
G04BE08,043274543,48
G04BE08,043274531,24
G04BE08,043274529,8
G04BE08,043274517,112
G04BE08,043274505,56
G04BE08,043274493,30
G04BE08,043274481,24
G04BE08,043274479,20
G04BE08,043274467,16
G04BE08,043274455,10
G04BE08,043274442,4
G04BE08,043274430,8
G04BE08,043274428,48
G04BE08,043274416,24
G04BE08,043274404,8
G04BE08,043274392,112
G04BE08,043274380,56
G04BE08,043274378,30
G04BE08,043274366,24
G04BE08,043274354,20
G04BE08,043274341,16
G04BE08,043274339,10
G04BE08,043274327,8
G04BE08,043274315,4
G04BE08,043274303,24
G04BE08,043274291,4
G04BE08,043274289,28
G04BE08,043274277,4
G04BE08,043274265,24
G04BE08,043274253,4
G04BE08,043274240,28
G04BE08,043274238,4
G04BE08,043274226,24
G04BE08,043274214,4
G04BE08,043274202,28
G04BE08,043274190,4
G04BE08,043274188,49
G04BE08,043274176,14
G04BE08,043274164,42
G04BE08,043274152,15
G04BE08,043274149,14
G04BE08,043274137,7
G04BE08,043274125,49
G04BE08,043274113,14
G04BE08,043274101,42
G04BE08,043274099,15
G04BE08,043274087,14
G04BE08,043274075,7
G04BE08,043274063,49
G04BE08,043274051,14
G04BE08,043274048,42
G04BE08,043274036,15
G04BE08,043274024,14
G04BE08,043274012,7
N03AX14,043273034,10
N03AX14,043273022,10
N03AX14,043273010,20
J01DD02,043272083,12.5
J01DD02,043272071,5
J01DD02,043272069,2.5
J01DD02,043272057,0.5
J01DD02,043272044,6.25
J01DD02,043272032,2.5
J01DD02,043272020,1.25
J01DD02,043272018,0.25
R06AX22,043271129,200
R06AX22,043271117,100
R06AX22,043271105,60
R06AX22,043271093,40
R06AX22,043271081,20
R06AX22,043271079,100
R06AX22,043271067,50
R06AX22,043271055,40
R06AX22,043271042,30
R06AX22,043271030,20
R06AX22,043271028,15
R06AX22,043271016,10
J01MA02,043270014,3
M03BX05,043269012,3
C10AA07,043268465,400
C10AA07,043268453,120
C10AA07,043268440,400
C10AA07,043268438,400
C10AA07,043268426,392
C10AA07,043268414,360
C10AA07,043268402,336
C10AA07,043268390,240
C10AA07,043268388,224
C10AA07,043268376,200
C10AA07,043268364,200
C10AA07,043268352,168
C10AA07,043268349,120
C10AA07,043268337,120
C10AA07,043268325,112
C10AA07,043268313,80
C10AA07,043268301,60
C10AA07,043268299,56
C10AA07,043268287,28
C10AA07,043268275,400
C10AA07,043268263,400
C10AA07,043268251,392
C10AA07,043268248,360
C10AA07,043268236,336
C10AA07,043268224,240
C10AA07,043268212,224
C10AA07,043268200,200
C10AA07,043268198,200
C10AA07,043268186,168
C10AA07,043268174,120
C10AA07,043268162,120
C10AA07,043268150,112
C10AA07,043268147,80
C10AA07,043268135,60
C10AA07,043268123,56
C10AA07,043268111,28
C10AA07,043268109,200
C10AA07,043268097,60
C10AA07,043268085,200
C10AA07,043268073,200
C10AA07,043268061,196
C10AA07,043268059,180
C10AA07,043268046,168
C10AA07,043268034,120
C10AA07,043268022,112
C10AA07,043268010,100
C10AA07,043267994,100
C10AA07,043267982,84
C10AA07,043267970,60
C10AA07,043267968,60
C10AA07,043267956,56
C10AA07,043267943,40
C10AA07,043267931,30
C10AA07,043267929,28
C10AA07,043267917,14
C10AA07,043267905,200
C10AA07,043267893,200
C10AA07,043267881,196
C10AA07,043267879,180
C10AA07,043267867,168
C10AA07,043267855,120
C10AA07,043267842,112
C10AA07,043267830,100
C10AA07,043267828,100
C10AA07,043267816,84
C10AA07,043267804,60
C10AA07,043267792,60
C10AA07,043267780,56
C10AA07,043267778,40
C10AA07,043267766,30
C10AA07,043267754,28
C10AA07,043267741,14
C10AA07,043267739,100
C10AA07,043267727,30
C10AA07,043267715,100
C10AA07,043267703,100
C10AA07,043267691,98
C10AA07,043267689,90
